modality,model,split,n_features,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_coconut,recall_coconut,precision_pepper,recall_pepper,confusion_matrix,beats_majority,majority_prior_accuracy
fusion,lr,val,44,0.5078,0.5122,0.5073,0.5246,0.5764,0.4778,0.4476,0.5466,"[[656, 717], [482, 581]]",False,0.5636
fusion,lr,test,44,0.5011,0.4992,0.4992,0.4936,0.5367,0.5242,0.4618,0.4743,"[[629, 571], [543, 490]]",False,0.5374
fusion,rf,val,44,0.5624,0.4995,0.3642,0.5336,0.5634,0.9942,0.3846,0.0047,"[[1365, 8], [1058, 5]]",False,0.5636
fusion,rf,test,44,0.5374,0.5,0.3496,0.4806,0.5374,1.0,0.0,0.0,"[[1200, 0], [1033, 0]]",False,0.5374
fusion,gb,val,44,0.5472,0.5227,0.5147,0.5405,0.5797,0.7152,0.473,0.3302,"[[982, 391], [712, 351]]",False,0.5636
fusion,gb,test,44,0.4966,0.4991,0.4966,0.5013,0.5364,0.4667,0.4617,0.5315,"[[560, 640], [484, 549]]",False,0.5374
fusion,mlp,val,44,0.4368,0.5003,0.3046,0.5215,1.0,0.0007,0.4366,1.0,"[[1, 1372], [0, 1063]]",False,0.5636
fusion,mlp,test,44,0.4653,0.5023,0.324,0.505,0.75,0.0075,0.4638,0.9971,"[[9, 1191], [3, 1030]]",False,0.5374
