modality,model,split,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_coconut,recall_coconut,precision_pepper,recall_pepper,confusion_matrix,beats_majority,majority_prior_accuracy
tabular,lr,val,0.4585,0.5172,0.3582,0.5534,0.77,0.0561,0.4452,0.9784,"[[77, 1296], [23, 1040]]",False,0.5636
tabular,lr,test,0.4626,0.5,0.3163,0.5267,0.0,0.0,0.4626,1.0,"[[0, 1200], [0, 1033]]",False,0.5374
tabular,rf,val,0.564,0.5008,0.3641,0.5334,0.564,0.9978,0.5714,0.0038,"[[1370, 3], [1059, 4]]",True,0.5636
tabular,rf,test,0.5374,0.5,0.3496,0.4928,0.5374,1.0,0.0,0.0,"[[1200, 0], [1033, 0]]",False,0.5374
tabular,gb,val,0.555,0.5245,0.509,0.5315,0.5799,0.764,0.4833,0.285,"[[1049, 324], [760, 303]]",False,0.5636
tabular,gb,test,0.5132,0.5047,0.5017,0.5027,0.5412,0.6192,0.4686,0.3901,"[[743, 457], [630, 403]]",False,0.5374
tabular,mlp,val,0.5082,0.5122,0.5076,0.5278,0.5764,0.4807,0.4477,0.5437,"[[660, 713], [485, 578]]",False,0.5636
tabular,mlp,test,0.506,0.4864,0.4572,0.4814,0.5285,0.75,0.434,0.2227,"[[900, 300], [803, 230]]",False,0.5374
tabular,majority_constant,test,0.5374,0.5,0.3496,,0.5374,1.0,0.0,0.0,"[[1200, 0], [1033, 0]]",False,0.5374
