source_crop,crop_type,lat,lon,year,season,survey_date,is_duplicate,satellite_status,valid_cropfusion_sample,rejection_reasons,primary_reason
Coconut,coconut,12.9892967,75.1114626,2020,Kharif,2020-09-04,False,FULL,True,accepted,accepted
Coconut,coconut,12.9892962,75.1114767,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9647662,75.1214065,2020,Kharif,2020-10-09,False,FULL,True,accepted,accepted
Coconut,coconut,12.9646867,75.1213044,2020,Kharif,2020-10-09,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.964488,75.1163935,2020,Kharif,2020-10-09,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9646052,75.1163254,2020,Kharif,2020-10-09,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9644786,75.1163638,2020,Kharif,2020-10-09,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9878707,75.1094827,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9720379,75.1198225,2020,Kharif,2020-09-03,False,FULL,True,accepted,accepted
Coconut,coconut,12.9720211,75.1197779,2020,Kharif,2020-09-03,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9704119,75.1228317,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9704603,75.1229207,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9704466,75.1228798,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9702738,75.1230683,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9741874,75.1175798,2020,Kharif,2020-10-09,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9741978,75.1175505,2020,Kharif,2020-10-09,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9849992,75.1127707,2020,Kharif,2020-10-11,False,FULL,True,accepted,accepted
Coconut,coconut,12.9849826,75.1128468,2020,Kharif,2020-10-11,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.9690684,75.1116328,2020,Kharif,2020-10-11,False,FULL,True,accepted,accepted
Coconut,coconut,12.9690961,75.11159,2020,Kharif,2020-10-11,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9690969,75.1115498,2020,Kharif,2020-10-11,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.969077,75.1115499,2020,Kharif,2020-10-11,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9702191,75.1231578,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9703056,75.1230874,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9704126,75.1230012,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9704088,75.122999,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9690928,75.1115655,2020,Kharif,2020-10-11,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9690669,75.1115825,2020,Kharif,2020-10-11,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.9662448,75.1195792,2020,Kharif,2020-10-11,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9616912,75.1142844,2020,Kharif,2020-10-09,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9617022,75.1142938,2020,Kharif,2020-10-09,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9704246,75.1227367,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9703805,75.1227112,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9699338,75.122672,2020,Kharif,2020-09-04,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9106058,75.0263147,2020,Kharif,2020-09-24,False,FULL,True,accepted,accepted
Coconut,coconut,12.900746,75.0195534,2020,Kharif,2020-10-07,False,FULL,True,accepted,accepted
Coconut,coconut,12.9648397,75.0993264,2020,Kharif,2020-09-05,False,FULL,True,accepted,accepted
Coconut,coconut,12.9652004,75.0993599,2020,Kharif,2020-09-05,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9652587,75.0993827,2020,Kharif,2020-09-05,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.8972421,75.0155495,2020,Kharif,2020-08-15,False,FULL,True,accepted,accepted
Coconut,coconut,12.8973013,75.0155508,2020,Kharif,2020-08-15,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9116005,75.0330368,2020,Kharif,2020-08-15,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.904036,75.0397079,2020,Kharif,2020-10-14,False,FULL,True,accepted,accepted
Coconut,coconut,12.9039674,75.0397364,2020,Kharif,2020-10-14,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9038967,75.0397552,2020,Kharif,2020-10-14,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.903203,75.0392147,2020,Kharif,2020-10-14,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.903187,75.039195,2020,Kharif,2020-10-14,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9455465,75.0161789,2020,Kharif,2020-09-29,False,FULL,True,accepted,accepted
Coconut,coconut,12.9455766,75.0161351,2020,Kharif,2020-09-29,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9460051,75.0141426,2020,Kharif,2020-09-29,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.949981,75.0213782,2020,Kharif,2020-09-29,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9500026,75.0214178,2020,Kharif,2020-09-29,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.9728288,75.1161502,2020,Kharif,2020-08-15,False,FULL,True,accepted,accepted
Pepper (Black),pepper,12.9734863,75.1161337,2020,Kharif,2020-08-15,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.9736382,75.1152433,2020,Kharif,2020-08-15,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.9736519,75.1152247,2020,Kharif,2020-08-15,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9814509,75.0991732,2020,Kharif,2020-08-15,False,FULL,True,accepted,accepted
Coconut,coconut,12.9107244,75.0273644,2020,Kharif,2020-09-24,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9007118,75.0195709,2020,Kharif,2020-10-07,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9007227,75.0195477,2020,Kharif,2020-10-07,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9017772,75.0194281,2020,Kharif,2020-10-07,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9029867,75.0388063,2020,Kharif,2020-10-14,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9652988,75.0993621,2020,Kharif,2020-09-05,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9115533,75.0283071,2020,Kharif,2020-09-24,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.902255,75.0214783,2020,Kharif,2020-10-07,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9109122,75.0331637,2020,Kharif,2020-08-15,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.9109075,75.0331607,2020,Kharif,2020-08-15,False,FULL,True,accepted,accepted
Coconut,coconut,12.9115349,75.0333821,2020,Kharif,2020-08-16,False,FULL,True,accepted,accepted
Coconut,coconut,12.9653598,75.0993467,2020,Kharif,2020-09-05,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9653244,75.0993365,2020,Kharif,2020-09-05,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9115599,75.0282785,2020,Kharif,2020-09-24,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9117546,75.0333725,2020,Kharif,2020-08-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9114428,75.0335232,2020,Kharif,2020-08-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.8982748,75.0268649,2020,Kharif,2020-08-17,False,FULL,True,accepted,accepted
Coconut,coconut,12.898284,75.0268116,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9206232,75.0314433,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.983387,75.1205384,2020,Kharif,2020-09-06,False,FULL,True,accepted,accepted
Coconut,coconut,12.9126001,75.0303157,2020,Kharif,2020-09-24,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9040401,75.0308975,2020,Kharif,2020-09-24,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.8982067,75.0146133,2020,Kharif,2020-10-08,False,FULL,True,accepted,accepted
Coconut,coconut,12.8984033,75.0148183,2020,Kharif,2020-10-08,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.92084,75.0302383,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9208961,75.0300221,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9202883,75.0310767,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.9203006,75.0310762,2020,Kharif,2020-08-17,False,FULL,True,accepted,accepted
Coconut,coconut,12.9202775,75.0310396,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.920635,75.031555,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9206,75.0315483,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.9206617,75.0315942,2020,Kharif,2020-08-17,True,FULL,False,duplicate,duplicate
