pepper_field_id,pepper_lat,pepper_lon,nearest_coconut_field_id,nearest_coconut_lat,nearest_coconut_lon,distance_m,distance_band
Puttur|PUTTURU|OLAMOGRU|SURVEYID=444974990,12.6995196,75.220134,Puttur|PUTTURU|OLAMOGRU|SURVEYID=444974990,12.6995317,75.2201175,2.2391424935541075,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=444975022,12.699456,75.2201237,Puttur|PUTTURU|OLAMOGRU|SURVEYID=444975022,12.6994765,75.2201187,2.3431327572998697,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=444975028,12.699485,75.2201227,Puttur|PUTTURU|OLAMOGRU|SURVEYID=444975028,12.6994888,75.2201216,0.43906542136761373,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825990,12.5924331,75.2517286,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825990,12.5924552,75.2517271,2.4627933135881848,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825991,12.5926856,75.2545881,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825991,12.5926693,75.2545615,3.408479485508256,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825993,12.5926165,75.2549009,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825994,12.5926075,75.2548897,1.5744103662955924,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241473,12.6852513,75.2205956,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445381863,12.6852469,75.2205923,0.6062404360577488,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241483,12.6852069,75.2206189,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445389947,12.6852123,75.2206166,0.6502280315412977,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241542,12.6852259,75.2205977,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445365543,12.6852255,75.2205967,0.11724492278394594,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241547,12.6852357,75.2205999,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445296222,12.6852339,75.2205958,0.4877312972875858,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=444975035,12.6994963,75.2201482,Puttur|PUTTURU|OLAMOGRU|SURVEYID=444975036,12.6995009,75.2201524,0.684977748340761,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=444975036,12.6994943,75.2201394,Puttur|PUTTURU|OLAMOGRU|SURVEYID=444975035,12.6994935,75.2201368,0.2957304044583029,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241550,12.685219,75.2205999,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445365545,12.6852225,75.2205954,0.6243128171248498,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241553,12.6852246,75.2205837,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445296269,12.6852302,75.2205839,0.6230694492644534,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241557,12.6851976,75.2206242,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445340359,12.6851837,75.2206242,1.545609480387733,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825994,12.5925958,75.2549078,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825992,12.5926033,75.2549135,1.038323089014762,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825995,12.5925996,75.2549123,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444825992,12.5926033,75.2549135,0.43153882359487555,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826000,12.5963556,75.2524939,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826000,12.596324,75.2525007,3.5904097275385394,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241560,12.6852006,75.220608,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241557,12.6852085,75.2206048,0.944543210119018,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241563,12.6851958,75.2207222,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445381795,12.6851912,75.220729,0.8976553333784051,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241566,12.6851956,75.2207232,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445381795,12.6851912,75.220729,0.7970266394529781,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241568,12.6852947,75.2205453,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241688,12.685297,75.2205372,0.9151560850671971,0-5
