class,count,percentage
coconut,93,45.59
ginger,18,8.82
cardamom,11,5.39
pepper,11,5.39
arecanut,11,5.39
tea,10,4.9
blackgram,10,4.9
cashew,10,4.9
paddy,9,4.41
coffee,8,3.92
groundnut,8,3.92
cocoa,5,2.45
