class,count,percentage
coconut,2364,65.81
pepper,1088,30.29
coffee,40,1.11
cardamom,18,0.5
ginger,18,0.5
arecanut,11,0.31
blackgram,11,0.31
tea,10,0.28
cashew,10,0.28
paddy,9,0.25
groundnut,8,0.22
cocoa,5,0.14
